1e+08,34,50,44,54,59,54,44,39,69,54,39,49,40,45,40,59,55,39,44,45,45,49,34,49,44,49,50,54,45,54,34,49,49,54,59,59,54,49,34,49,50,44,44,54,34,59,44,35,40,49,40,24,40,59,144,50,40,39,35,45,49,54,35,50,40,39,40,39,44,50,55,54,54,40,40,34,49,49,69,144,49,49,49,49,45,45,40,55,54,35,44,30,40,40,40,39,35,44,30,10,35,49,39,45,40,35,50,44,40,30,30,40,34,35,39,30,14,29,40,40,15,34,50,20,44,35,30,49,40,34,30,25,54,25,40,39,14,30,44,55,40,30,34,34,55,30,49,40,34,30,34,40,34,29,59,39,34,30,14,30,35,29,35,10,44,50,35,35,49,35,44,40,39,30,45,44,39,34,30,38,41,41,43,51,47,47,49,43,38,45,47,38,48,37,52,43,38,43,41,31,35,44,50,53,52,32,44,36,35,10,41,37,35,14,34,13,31,33,41,34,38,36,34,29,38,30,40,35,36,41,48,45,20,39,40,19,35,42,29,45,47,53,47,38,37,47,45,46,52,51,45,46,45,47,70,55,40,42,41,44,51,47,46,42,52,41,43,46,52,36,29,37,38,29,35,35,28,32,31,30,37,28,25,31,35,34,24,32,47,45,10,34,31,36,33,47,35,12,34,38,42,37,49,53,47,45,31,45,44,50,47,36,45,54,41,22,54,46,41,38,37,48,44,50,45,45,39,38,47,34,40,33,30,34,15,37,51,22,44,34,28,32,41,37,31,42,13,36,41,41,30,37,35,36,35,47,38,30,30
34,1e+08,35,49,20,29,54,70,75,35,85,25,55,75,25,30,40,20,60,65,20,19,75,25,75,54,60,65,20,85,35,144,25,70,59,75,29,20,59,80,55,50,35,54,20,30,40,49,24,75,25,20,15,29,24,34,35,30,25,60,24,59,75,24,44,69,25,70,30,30,35,50,25,60,75,94,25,35,64,30,34,24,25,34,75,55,19,20,50,25,25,79,20,80,30,25,25,24,25,30,0,20,25,84,50,40,29,45,25,15,20,15,30,10,25,15,15,5,15,84,25,20,20,45,9,29,20,10,59,34,30,20,25,25,25,20,30,9,20,20,29,29,15,24,45,70,20,25,20,25,20,20,25,30,20,24,20,45,29,5,15,19,14,25,0,25,15,29,15,19,20,79,30,24,15,25,29,20,20,10,83,92,28,93,52,31,64,52,29,53,55,26,28,34,25,27,52,78,72,84,98,98,25,32,51,37,74,77,34,27,6,34,23,28,8,28,5,14,24,21,26,26,24,24,21,34,21,67,18,24,23,41,66,14,24,42,8,29,25,23,28,73,51,32,27,21,31,30,33,47,78,55,25,61,36,33,26,36,66,92,54,51,26,27,73,23,67,29,31,52,26,22,12,26,23,22,24,24,22,21,20,23,19,15,14,29,26,18,26,31,66,6,84,21,24,25,31,53,8,17,78,80,115,52,51,32,81,98,28,32,32,80,34,28,61,92,11,52,53,30,53,21,37,77,30,57,61,65,32,36,84,36,21,21,27,14,36,28,22,35,23,19,26,25,26,21,42,5,20,27,52,24,12,28,23,24,31,27,22,22
50,35,1e+08,35,54,70,40,25,40,55,45,69,50,40,39,60,50,45,40,44,60,50,50,55,55,44,45,65,70,40,70,35,70,55,55,55,70,70,40,29,50,45,75,44,54,60,50,35,45,35,60,55,10,65,65,50,64,65,65,40,55,40,45,45,69,40,65,25,75,65,64,45,75,55,30,39,55,75,35,45,50,65,60,75,50,50,50,55,70,65,50,45,39,45,50,50,50,40,55,34,15,49,55,29,35,55,44,45,59,30,45,20,60,25,55,50,30,15,45,40,45,15,49,45,25,40,49,25,55,44,39,50,30,40,40,35,59,15,45,44,70,50,20,55,40,45,40,55,35,54,50,45,54,39,40,35,65,40,45,15,30,59,29,50,15,55,25,44,30,45,25,45,45,49,20,50,40,45,49,15,34,42,41,39,50,45,53,50,71,38,54,46,56,71,51,70,50,28,43,33,18,23,67,76,57,64,31,48,52,43,6,57,36,39,17,39,8,24,38,37,52,36,42,51,42,45,38,40,37,39,43,59,52,22,49,44,15,43,48,41,60,49,57,73,46,32,45,52,45,45,48,54,57,45,90,40,44,65,52,42,43,54,46,55,35,47,42,31,73,63,40,45,26,36,41,42,52,45,39,42,29,36,37,19,24,43,52,31,45,49,52,6,25,44,39,41,59,38,11,18,28,50,31,50,57,72,60,18,60,73,76,39,52,51,59,42,12,62,36,56,38,32,64,48,59,41,45,46,60,90,25,69,44,38,47,11,60,63,32,56,39,37,46,54,37,44,38,8,35,41,56,41,26,39,44,44,59,39,34,35
44,49,35,1e+08,30,40,44,40,35,45,50,40,49,50,30,50,35,34,49,49,40,34,50,30,50,60,45,54,30,35,50,49,25,49,59,45,40,30,45,34,49,50,40,60,30,39,35,144,25,40,30,35,24,40,35,44,44,40,40,50,35,45,49,25,54,50,40,40,39,30,44,50,40,54,45,55,30,29,40,40,44,30,30,40,50,64,34,35,59,49,39,45,35,45,40,30,30,29,50,35,15,40,44,45,64,55,30,45,39,34,30,25,39,20,35,25,35,25,30,40,30,24,35,45,24,45,40,30,54,40,39,30,40,30,30,29,35,15,30,40,44,29,25,35,44,55,45,44,25,30,30,25,30,39,35,35,34,44,30,25,35,30,20,49,15,50,20,30,30,25,25,45,45,55,19,30,45,24,35,20,37,43,40,42,48,35,47,49,45,53,56,34,40,44,37,39,54,47,48,45,34,31,32,43,51,43,40,47,44,38,17,45,34,36,23,45,19,18,32,32,34,37,42,40,42,40,41,43,36,39,28,51,45,25,28,47,22,36,31,37,34,46,51,41,43,31,35,46,42,45,48,56,29,42,45,39,30,47,47,43,52,58,34,37,45,28,40,30,41,48,31,29,26,37,37,39,39,36,25,35,28,34,29,21,18,36,34,41,33,36,45,17,38,30,39,28,34,47,32,27,47,44,45,49,51,42,48,34,34,41,43,35,44,34,47,43,25,45,40,40,53,31,39,47,41,44,42,49,42,45,38,50,36,41,38,20,41,35,35,40,33,29,33,38,40,30,54,19,32,42,57,35,26,36,38,30,34,28,39,31
54,20,54,30,1e+08,69,15,15,20,60,20,54,44,15,30,60,55,55,20,20,59,85,45,44,40,45,15,35,84,10,54,20,74,49,39,44,69,84,44,15,44,50,49,45,144,64,55,30,44,10,54,55,20,50,64,54,44,55,50,30,54,44,19,44,45,15,50,20,64,64,44,39,39,49,15,15,44,69,9,60,54,80,54,69,45,25,85,55,45,44,45,19,40,20,50,40,55,40,55,30,15,44,44,15,20,35,35,30,59,29,35,20,45,29,55,54,30,10,35,24,35,15,45,30,25,34,44,20,19,35,30,40,15,39,35,55,60,9,35,35,75,44,20,35,10,20,35,44,35,59,40,45,45,30,34,55,54,10,35,10,30,70,19,35,15,55,44,35,30,64,30,19,40,39,14,54,34,39,45,25,8,15,47,12,40,57,40,40,66,41,37,49,59,66,57,81,30,17,34,18,3,4,82,56,43,65,8,30,48,43,14,66,43,42,13,40,11,20,38,45,51,49,42,42,34,40,43,24,35,34,54,43,27,17,54,39,23,26,73,38,65,26,43,54,45,35,57,50,47,39,26,37,59,26,55,58,58,52,30,15,32,42,49,50,12,64,18,24,63,48,44,37,31,49,38,36,57,36,32,38,29,43,38,26,20,26,51,32,50,68,27,14,14,46,34,31,62,18,17,24,17,17,18,40,43,63,43,3,65,66,56,21,48,55,39,15,20,52,23,56,41,35,67,30,60,29,26,38,59,55,14,55,48,43,50,13,55,58,22,58,42,38,43,53,45,46,23,11,42,43,44,33,31,42,37,39,62,50,27,36
59,29,70,40,69,1e+08,40,35,40,54,29,85,60,44,30,85,55,54,45,30,69,64,44,49,54,40,35,49,90,35,70,29,95,50,40,49,144,90,39,34,60,35,85,40,69,85,55,40,49,40,64,64,5,59,64,59,45,55,80,25,44,39,40,49,60,35,80,30,94,79,45,55,85,60,29,40,49,70,40,50,59,90,64,85,44,44,64,64,64,55,60,40,35,35,55,50,64,49,59,40,5,45,59,25,40,54,35,44,69,30,50,19,45,15,45,44,39,19,50,30,50,9,55,44,10,40,45,15,45,45,40,50,30,45,45,50,75,19,50,50,74,49,19,40,35,54,35,59,35,64,50,50,55,40,35,45,64,35,50,19,39,70,19,45,5,59,15,35,25,39,35,40,44,49,15,60,40,49,55,34,31,36,51,30,54,59,53,53,76,41,49,51,63,92,58,92,44,26,36,32,24,24,70,85,59,73,26,51,57,51,8,68,45,44,19,44,5,19,45,50,55,45,51,51,39,48,46,41,40,44,55,48,50,19,58,45,15,41,70,48,69,39,59,87,55,36,59,59,48,45,47,49,70,44,63,61,43,71,51,36,34,52,51,57,34,59,38,35,90,62,45,46,15,45,48,44,67,45,38,47,35,45,41,32,19,41,55,33,43,59,50,8,31,48,44,38,69,33,16,18,26,42,29,53,59,90,59,24,69,88,85,43,57,59,55,36,9,70,41,60,41,36,74,51,71,42,44,42,68,63,31,64,50,46,57,10,66,63,40,70,41,41,49,65,32,48,37,5,40,52,56,45,15,44,49,47,69,54,34,37
54,54,40,44,15,40,1e+08,75,70,40,70,50,65,70,34,20,55,20,59,45,20,19,55,25,60,39,75,70,20,70,55,54,15,60,45,60,40,20,44,75,65,30,54,39,15,20,55,44,20,65,20,19,15,25,25,54,40,20,50,54,60,44,69,20,45,70,50,70,35,15,40,55,55,65,70,75,25,15,80,45,54,19,20,44,55,44,19,19,59,30,10,65,10,70,14,15,20,10,25,15,5,20,29,45,40,39,14,40,24,25,15,20,25,34,15,25,20,19,15,65,20,5,19,40,19,35,20,30,55,19,10,10,35,25,10,30,10,34,15,20,19,19,20,19,39,55,25,29,5,15,10,10,10,10,20,25,10,39,29,19,20,10,20,30,5,25,15,14,30,15,15,65,20,25,5,10,35,14,19,15,59,61,23,60,61,15,66,61,28,41,58,18,18,49,13,31,51,56,60,74,58,56,25,53,60,53,63,64,24,22,9,24,16,24,26,25,11,20,16,11,18,23,23,24,20,23,25,55,17,25,14,38,64,24,9,34,15,31,11,27,15,59,60,49,22,15,15,21,42,46,65,58,16,75,47,51,56,41,60,61,39,51,18,28,73,13,76,32,48,58,11,13,36,23,27,21,18,23,14,20,30,16,11,15,20,31,18,18,13,21,64,9,50,22,25,22,17,54,18,35,56,71,61,61,60,52,59,58,15,44,53,72,24,14,71,61,19,65,99,18,41,15,26,64,21,63,75,49,17,47,50,40,16,25,15,7,31,30,22,19,20,11,26,18,37,22,39,11,15,22,48,22,36,24,20,18,17,13,22,21
44,70,25,40,15,35,75,1e+08,75,40,70,15,60,80,24,15,55,20,44,50,20,25,59,15,70,45,70,55,15,85,35,70,15,55,45,60,35,15,40,95,60,40,15,45,15,20,55,40,20,85,20,20,10,35,30,44,40,15,15,55,20,40,75,20,35,79,15,80,15,15,40,45,20,50,75,80,15,19,75,50,44,15,20,20,59,39,25,20,45,25,20,80,20,70,15,25,25,20,10,20,20,20,15,75,45,25,25,40,20,25,20,25,10,15,25,25,20,14,20,75,10,10,25,40,20,25,20,15,65,25,15,19,20,20,20,20,20,20,20,15,30,24,25,15,40,55,20,15,20,15,19,20,20,15,20,25,14,40,25,14,20,30,20,35,20,10,30,25,25,30,29,80,20,20,15,25,25,14,25,15,81,74,18,72,46,24,59,58,16,33,38,19,18,20,15,16,47,70,68,80,73,71,19,21,46,33,76,71,22,18,14,16,17,17,19,15,10,23,19,18,17,17,19,16,18,24,18,64,18,21,21,33,65,22,20,27,21,30,17,16,21,65,46,20,20,23,24,24,28,40,72,38,20,71,26,49,23,22,64,74,38,41,19,25,80,18,79,26,22,52,18,17,19,17,16,20,22,19,20,18,19,17,18,15,23,30,17,22,12,19,65,14,71,23,21,26,18,49,12,17,70,76,72,58,46,19,64,73,21,15,21,85,22,20,61,74,10,61,70,18,33,23,21,71,21,57,71,53,13,26,71,18,19,18,23,11,23,19,19,20,21,18,19,16,17,23,37,10,23,20,38,18,19,17,20,20,18,15,21,16
39,75,40,35,20,40,70,75,1e+08,30,70,35,70,85,30,25,59,15,70,64,30,19,60,39,84,40,85,69,25,80,50,75,20,69,50,70,40,25,44,70,70,35,30,40,20,30,59,35,25,84,24,25,10,30,25,39,44,25,54,59,30,44,80,25,45,79,54,75,35,29,44,45,35,60,70,70,39,34,80,49,39,25,24,30,60,45,19,25,65,15,19,90,20,85,20,19,25,20,24,29,9,29,39,75,44,35,24,44,24,20,30,29,25,14,20,19,29,10,29,80,15,10,24,44,14,25,29,10,70,25,20,24,20,24,25,15,15,15,30,20,20,25,29,20,44,60,30,39,20,20,24,15,20,20,25,20,15,44,29,10,29,15,20,24,9,24,19,24,10,15,25,90,20,29,10,29,25,24,24,25,85,92,27,88,62,21,73,66,31,40,59,22,23,40,24,31,52,72,73,79,86,85,18,48,67,54,72,84,32,29,10,25,21,28,21,25,15,18,18,18,25,15,26,34,23,29,28,68,21,28,19,38,72,16,21,37,21,38,14,29,23,71,67,50,29,23,21,20,25,48,80,59,25,81,43,50,33,43,83,92,42,48,22,31,90,21,78,24,43,76,23,22,16,15,29,25,21,28,20,27,20,21,16,16,18,38,25,28,20,22,72,10,75,25,28,27,25,51,17,11,72,90,85,66,67,38,74,86,23,37,48,98,32,21,78,92,14,74,74,32,40,23,37,84,28,70,81,58,30,43,75,36,26,28,21,12,31,28,22,24,21,16,28,33,19,25,43,15,22,24,57,25,16,28,32,20,25,17,23,22
69,35,55,45,60,54,40,40,30,1e+08,44,55,45,25,45,45,65,54,40,35,54,55,55,45,49,35,35,35,50,39,55,35,55,50,40,50,54,50,49,25,45,49,45,35,60,35,65,45,45,35,49,50,20,40,55,69,50,54,50,35,55,49,45,45,50,35,50,30,45,55,50,40,50,50,34,50,45,49,35,70,69,50,49,55,55,40,55,50,55,50,40,34,39,24,45,44,50,35,40,35,14,45,45,35,39,45,35,39,50,40,44,15,60,24,45,55,35,14,39,30,44,10,45,39,19,45,45,25,45,44,39,49,40,40,35,40,54,10,44,35,49,45,15,44,35,50,40,45,49,45,49,45,50,39,39,54,40,35,35,14,35,54,19,40,14,40,55,35,40,45,34,34,44,40,20,49,45,49,45,30,25,30,54,31,48,43,46,45,43,40,43,48,38,52,47,56,45,28,38,30,17,18,54,52,51,56,27,39,51,41,15,47,41,49,19,40,17,21,41,42,43,40,45,45,44,44,37,35,48,44,39,48,43,22,40,44,22,44,53,43,46,46,51,51,44,35,43,43,52,44,37,43,60,36,52,72,56,49,43,30,40,53,48,42,31,54,27,36,52,47,43,37,34,40,43,33,46,47,40,49,34,41,42,28,21,44,43,37,43,54,43,15,24,42,44,36,44,33,12,33,28,30,28,45,51,53,45,17,46,54,52,31,51,45,48,30,23,46,40,41,40,35,48,39,48,35,36,45,42,52,24,51,51,37,44,16,49,53,45,49,41,42,44,49,52,42,41,17,38,45,45,40,34,49,43,44,44,41,41,40
