1e+08,40,44,40,54,44,54,50,40,44,40,54,54,30,44,40,40,44,54,34,60,50,60,44,44,30,30,50,34,30,20,20,20,30,20,34,20,30,24,24,40,14,24,44,44,24,30,44,34,44,30,24,34,14,40,20,20,30,30,20,40,24,30,20,30,40,20,40,20,40,60,40,40,30,40,40,50,40,60,20,20,30,40,40,30,20,30,30,50,30,30,30,30,40,50,40,40,20,40,40,30,20,30,30,40,18,25,22,19,21,16,19,19,16,22,17,14,18,16,20,20,16,22,16,21,16,17,20,19,20,16,18,23,18,19,17,19,16,23,18,19,22,18,17,15,17,22,21,17,17,17,20,16,21,20,18,20,16,21,20,14,15,20,19,18,17,18,20,16,24,25,18,17,20,24,26,22,17,17,18,18,15,17,18,16,17,22,20,19,18,17,22,21,21,20,23,21,21,20,20,18,19,22,22,17,21,20,23,22,22
40,1e+08,30,84,10,40,144,40,40,30,50,40,90,20,44,34,24,44,54,64,24,40,54,30,30,20,44,34,54,30,20,30,40,34,20,30,20,20,24,24,34,10,30,20,34,34,30,40,34,34,30,20,20,30,30,30,24,34,20,24,10,30,34,24,20,30,20,30,40,50,40,30,30,40,50,40,30,40,40,40,30,30,40,30,34,50,40,40,30,40,60,50,40,30,30,40,50,30,50,30,60,20,30,40,40,16,18,21,18,19,16,19,18,16,18,21,18,15,12,22,14,16,19,17,19,20,15,24,22,16,14,13,23,15,15,19,13,15,21,19,17,18,14,13,14,16,22,17,14,14,20,16,20,18,17,12,18,17,16,21,16,20,21,17,19,20,24,20,16,17,24,17,16,15,22,23,19,21,14,19,19,14,18,20,16,21,19,19,17,22,18,21,24,22,15,21,20,19,20,21,16,17,24,19,15,14,17,18,18,17
44,30,1e+08,50,80,64,34,40,30,64,30,74,54,20,104,10,44,54,24,34,30,50,40,24,34,30,20,24,34,30,50,40,40,50,40,54,40,30,24,24,34,24,34,34,14,24,20,14,24,24,20,30,24,34,30,30,30,34,24,24,24,24,34,24,44,20,10,50,40,20,40,30,40,40,30,30,40,20,30,30,20,50,20,20,20,20,30,30,30,20,30,30,30,20,30,30,30,20,40,30,40,30,30,30,40,20,24,19,17,13,15,19,15,18,17,19,13,16,16,20,16,15,17,19,23,19,13,19,21,16,16,19,22,15,14,16,20,17,21,15,18,20,17,22,16,16,14,18,15,16,18,17,19,17,15,17,19,14,17,19,15,16,20,15,19,17,15,18,17,15,23,13,18,22,23,16,20,17,22,19,16,12,26,15,19,14,21,24,17,17,15,21,21,20,14,18,24,22,21,24,17,17,21,16,15,18,18,16,16,24
40,84,50,1e+08,10,40,64,50,30,50,40,50,70,20,40,34,24,14,34,44,14,50,44,20,30,20,24,34,44,30,30,30,40,34,34,20,34,30,24,20,34,30,10,20,40,14,30,20,20,20,20,20,20,10,30,24,30,24,24,24,30,34,34,34,30,20,24,30,20,30,50,30,20,30,30,40,30,30,50,40,30,20,30,40,34,40,30,30,30,30,20,20,50,40,30,30,50,30,50,20,50,20,20,30,30,18,26,16,19,21,15,16,16,18,17,17,15,14,14,19,11,19,17,13,23,19,15,22,19,12,17,20,20,17,14,16,16,17,26,18,16,19,14,17,15,16,19,20,16,13,17,16,18,21,19,18,18,15,15,16,17,19,24,15,20,18,20,16,16,16,24,15,14,17,23,25,21,16,19,24,17,14,23,22,19,21,27,19,16,24,15,23,23,23,14,17,21,20,24,17,15,19,27,17,12,13,18,15,18,20
54,10,80,10,1e+08,44,20,60,40,104,34,74,40,64,90,20,40,40,30,40,40,30,60,34,34,44,40,50,20,40,50,30,40,40,30,44,30,30,30,10,30,54,34,34,20,30,24,14,30,50,24,34,34,24,20,40,30,10,20,20,20,30,10,20,30,24,30,40,50,20,30,20,40,20,50,20,40,30,30,20,20,40,30,20,30,30,30,40,40,30,30,30,40,20,30,30,30,40,40,20,30,30,30,30,20,17,21,18,22,17,18,22,19,16,16,21,22,17,22,20,16,18,16,17,22,16,14,22,27,16,22,16,22,19,18,16,19,15,18,18,18,20,18,21,20,19,13,18,20,15,14,19,18,16,16,18,17,17,14,17,18,21,24,16,21,19,16,18,20,22,22,21,19,22,21,20,23,19,20,18,19,16,22,16,17,20,16,21,17,17,20,21,18,22,15,19,16,23,22,21,13,22,20,22,16,20,15,20,15,19
44,40,64,40,44,1e+08,50,20,50,84,50,74,84,20,64,20,30,40,10,30,40,50,40,14,14,30,30,50,40,30,40,40,50,40,50,24,50,50,30,34,50,24,34,34,34,30,14,34,44,34,24,24,24,34,10,40,30,30,24,24,24,24,30,30,34,30,30,20,30,40,30,30,30,30,40,30,20,40,20,30,30,40,40,40,20,30,30,40,20,50,30,20,30,20,40,30,60,50,40,30,30,30,30,40,30,22,18,23,17,19,19,20,15,15,17,16,19,21,19,19,15,14,17,19,18,22,19,21,21,15,22,18,21,21,18,15,20,14,13,15,20,25,15,22,23,18,16,19,19,15,19,16,18,21,20,19,24,22,17,22,24,22,20,15,16,14,14,14,15,13,25,18,22,18,20,18,23,19,19,20,18,12,16,22,19,15,17,16,12,17,19,23,21,17,13,17,22,19,24,23,13,22,23,18,16,17,18,21,13,19
54,144,34,64,20,50,1e+08,30,40,30,50,50,84,40,44,44,34,54,44,34,30,40,54,30,20,30,44,44,54,40,20,40,30,50,10,20,30,30,24,34,44,20,30,30,34,34,20,40,24,34,20,20,20,30,20,20,24,30,20,24,20,40,24,20,20,40,34,50,30,50,40,40,50,50,50,40,40,40,30,40,20,40,40,40,44,20,60,20,30,20,70,40,40,20,40,60,40,50,50,30,40,10,50,70,40,18,25,20,18,21,16,17,16,16,17,19,18,17,15,22,11,16,17,17,15,19,16,24,19,16,13,13,21,15,15,16,13,15,18,15,18,17,15,19,14,15,21,14,13,13,18,17,22,13,18,16,21,13,15,19,16,18,23,15,21,20,18,21,15,13,20,18,12,17,19,19,22,18,18,17,19,16,18,21,14,23,19,17,19,22,14,25,23,24,16,23,22,23,23,19,17,16,21,18,15,16,13,19,17,17
50,40,40,50,60,20,30,1e+08,44,60,44,50,40,60,40,10,40,50,30,40,20,30,40,20,40,54,40,50,30,40,30,30,50,30,50,30,50,30,30,20,20,40,20,40,30,30,20,40,30,40,30,30,30,30,34,14,24,14,14,14,20,40,14,24,30,30,20,40,30,30,20,30,30,0,40,20,20,30,40,20,20,30,30,30,20,40,40,40,20,50,40,40,30,50,30,20,40,50,20,40,20,30,40,40,40,17,24,16,17,25,16,21,19,19,14,17,20,17,14,16,15,21,18,18,20,23,17,23,21,16,18,17,22,19,17,15,18,17,20,21,18,16,13,19,17,20,22,18,17,15,19,18,15,20,18,20,20,19,14,16,16,24,22,13,24,18,21,18,17,17,21,18,19,19,24,20,24,14,16,20,16,13,16,17,20,23,21,19,18,19,15,22,22,19,18,19,19,20,20,17,15,19,22,15,16,19,20,16,19,20
40,40,30,30,40,50,40,44,1e+08,50,64,50,60,44,40,30,20,40,40,30,30,60,70,30,20,4,50,30,50,30,20,20,40,60,40,10,40,20,30,20,30,20,30,20,30,30,24,30,10,30,34,20,20,30,20,40,30,30,10,24,34,44,30,30,34,24,20,40,30,30,50,30,40,30,40,20,30,30,30,30,30,40,30,30,30,50,30,30,50,50,40,50,30,20,40,30,40,30,50,50,30,30,40,30,30,16,20,16,22,14,17,16,13,17,20,19,20,25,19,16,15,21,19,17,16,21,18,23,20,17,19,17,20,17,15,16,22,15,19,18,17,20,16,16,13,18,18,16,20,16,13,19,18,18,18,22,19,17,16,16,22,21,20,20,18,21,18,21,19,18,22,20,18,20,19,21,20,22,20,15,18,18,18,19,18,17,19,18,16,17,16,19,25,21,19,19,16,19,20,18,15,21,20,23,17,18,19,18,17,15
44,30,64,50,104,84,30,60,50,1e+08,40,104,44,30,114,10,40,50,20,30,40,50,50,34,34,10,20,40,30,40,50,30,50,50,40,34,30,30,40,34,30,34,34,34,34,30,34,24,24,24,24,24,34,24,20,40,40,20,20,20,24,24,20,20,34,20,30,30,40,30,30,30,30,20,50,40,40,40,20,30,20,40,40,30,20,40,20,20,20,30,30,40,50,30,40,40,50,30,40,30,30,30,30,30,20,18,22,20,21,19,17,19,17,16,18,19,16,17,19,19,19,22,20,17,19,17,18,19,20,15,17,17,21,19,16,16,17,13,15,19,20,22,16,22,18,19,15,19,16,15,16,19,22,18,15,24,20,19,14,20,15,20,22,16,16,15,18,16,18,17,19,16,19,16,24,21,20,18,20,22,19,18,18,18,19,17,15,17,15,16,21,21,19,21,16,19,16,20,21,21,18,16,19,17,17,12,20,15,13,17
